a2jmidid 8~dfsg0-1
supercollider-vim 1:3.6.3~repack-5
swami 2.0.0+svn389-2
sweep 0.9.3-8
swh-lv2 1.0.15+20130517.git978d5d8-1
swh-plugins 0.4.15+1-7
synaesthesia 2.4-5
taggrepper 0.05-1
tagtool 0.12.3-9
tap-plugins 0.7.2-1
tclcsound 0.7.2-1
tempest-for-eliza 1.0.5-1
terminatorx 3.84-3
tetraproc 0.8.2-2
timemachine 0.3.3-2
timidity 2.13.2-40.2
timidity-daemon 2.13.2-40.2
timidity-interfaces-extra 2.13.2-40.2
tk707 0.7.21-9.2
traverso 0.49.2-6
tse3play 0.3.1-4.3ubuntu1
tuxguitar 1.2-17
tuxguitar-alsa 1.2-17
tuxguitar-fluidsynth 1.2-17
tuxguitar-jack 1.2-17
tuxguitar-jsa 1.2-17
tuxguitar-oss 1.2-17
twolame 0.3.13-1ubuntu1
upse123 1.0.0-2
vagalume 0.8.6-1
vamp-examples 2.5+repack0-2
vamp-plugin-sdk 2.5+repack0-2
vbrfix 0.24-7
vclt-tools 0.1.4-3
vco-plugins 0.3.0-2
veromix 0.18.3-1
veromix-common 0.18.3-1
viridian 1.2-3ubuntu1
vkeybd 1:0.1.18d-2
vmpk 0.4.0-3
vocproc 0.2-3
volti 0.2.3-5
volumeicon-alsa 0.4.6-2
vorbis-tools 1.4.0-1ubuntu3
vorbisgain 0.37-2
wah-plugins 0.0.2-2
wav2cdr 2.3.4-1
wavesurfer 1.8.8p4-2ubuntu2
wavpack 4.70.0-1
