alice 0.19-1
libdancer-session-cookie-perl 0.22-1
libdancer-session-memcached-perl 0.2020-1
libdanga-socket-perl 1.61-1
libdansguardian-perl 0.6-2
libdata-alias-perl 1.18-1
libdata-amf-perl 0.09-3
libdata-buffer-perl 0.04-1.1
libdata-clone-perl 0.003-1build1
libdata-compare-perl 1.22-0.1
libdata-dump-perl 1.22-1
libdata-dump-streamer-perl 2.36-1
libdata-dumper-concise-perl 2.021-1
libdata-dumper-simple-perl 0.11-4
libdata-dumpxml-perl 1.06-1
libdata-entropy-perl 0.007-2
libdata-faker-perl 0.10-1
libdata-float-perl 0.012-1
libdata-flow-perl 1.02-1
libdata-format-html-perl 0.5.1-1
libdata-formvalidator-constraints-datetime-perl 1.11-1
libdata-formvalidator-perl 4.81-1
libdata-guid-perl 0.047-1
libdata-hexdumper-perl 3.0001-1
libdata-ical-perl 0.21+dfsg-1
libdata-integer-perl 0.004-1
libdata-javascript-anon-perl 1.03-2
libdata-javascript-perl 1.13-1
libdata-miscellany-perl 1.100850-1
libdata-munge-perl 0.07-1
libdata-objectdriver-perl 0.09-1
libdata-optlist-perl 0.109-1
libdata-page-perl 2.02-1
libdata-pageset-perl 1.05-2
libdata-parsebinary-perl 0.31~dfsg-1
libdata-password-perl 1.08-1
libdata-peek-perl 0.39-1
libdata-phrasebook-loader-yaml-perl 0.12-1
libdata-phrasebook-perl 0.34-1
libdata-printer-perl 0.35-1
libdata-random-perl 0.11-1
libdata-report-perl 0.10-1
libdata-rmap-perl 0.62-1
libdata-section-perl 0.200005-1
libdata-section-simple-perl 0.05-1
libdata-serializer-perl 0.60-1
libdata-show-perl 0.002002-1
libdata-showtable-perl 4.6-1
libdata-sorting-perl 0.9-4
libdata-stag-perl 0.13-1
libdata-stream-bulk-perl 0.11-1
libdata-streamdeserializer-perl 0.06-1build4
libdata-streamserializer-perl 0.07-1build4
libdata-structure-util-perl 0.15-3build1
libdata-transformer-perl 0.04-1
libdata-treedumper-perl 0.40-1
libdata-treedumper-renderer-dhtml-perl 0.09-1
libdata-treedumper-renderer-gtk-perl 0.02-1
libdata-types-perl 0.09-1
libdata-util-perl 0.62-1build1
libdata-uuid-libuuid-perl 0.05-1build3
libdata-validate-domain-perl 0.10-1
libdata-validate-email-perl 0.04-1
libdata-validate-ip-perl 0.22-1
libdata-validate-uri-perl 0.06-1
libdata-visitor-perl 0.30-1
libdata-walk-perl 1.00-2
libdata-yaml-perl 0.0.6-1
libdatapager-perl 0.01-2
libdate-calc-perl 6.3-1
